Title,Production_Cost,Domestic_Growth,Worldwide_Growth
Pirates of the Caribbean: On Stranger Tides,410600000,241063875,241063875
Avengers: Endgame,400000000,858373000,858373000
Avengers: Age of Ultron,330600000,459005868,459005868
Star Wars Ep. VIII: The Last Jedi,317000000,620181382,620181382
Star Wars Ep. VII: The Force Awakens,306000000,936662225,936662225
Avengers: Infinity War,300000000,678815482,678815482
Pirates of the Caribbean: At Worldâs End,300000000,309420425,309420425
Justice League,300000000,229024295,229024295
Spectre,300000000,200074175,200074175
The Dark Knight Rises,275000000,448139099,448139099
Solo: A Star Wars Story,275000000,213767512,213767512
The Lone Ranger,275000000,89302115,89302115
John Carter,275000000,73058679,73058679
Tangled,260000000,200821936,200821936
Spider-Man 3,258000000,336530303,336530303
Captain America: Civil War,250000000,408084349,408084349
Batman v Superman: Dawn of Justice,250000000,330360194,330360194
The Hobbit: An Unexpected Journey,250000000,303003568,303003568
Harry Potter and the Half-Blood Prince,250000000,302089278,302089278
The Hobbit: The Desolation of Smaug,250000000,258366855,258366855
The Hobbit: The Battle of the Five Armies,250000000,255119788,255119788
The Fate of the Furious,250000000,225764765,225764765
Avatar,237000000,760507625,760507625
Superman Returns,232000000,200120000,200120000
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,172558876
Quantum of Solace,230000000,169368427,169368427
The Avengers,225000000,623279547,623279547
Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,423315812
Man of Steel,225000000,291045518,291045518
The Chronicles of Narnia: Prince Caspian,225000000,141621490,141621490
Tenet,224000000,0,0
The Amazing Spider-Man,220000000,262030663,262030663
Battleship,220000000,65233400,65233400
Transformers: The Last Knight,217000000,130168683,130168683
Jurassic World,215000000,652270625,652270625
Men in Black 3,215000000,179020854,179020854
Transformers: Revenge of the Fallen,210000000,402111870,402111870
Transformers: Age of Extinction,210000000,245439076,245439076
X-Men: The Last Stand,210000000,234362462,234362462
Robin Hood,210000000,105487148,105487148
King Kong,207000000,218080025,218080025
The Golden Compass,205000000,70107728,70107728
Black Panther,200000000,700059566,700059566
Titanic,200000000,659363944,659363944
Incredibles 2,200000000,608581744,608581744
Rogue One: A Star Wars Story,200000000,532177324,532177324
Finding Dory,200000000,486295561,486295561
Toy Story 3,200000000,415004880,415004880
Iron Man 3,200000000,408992272,408992272
Guardians of the Galaxy Vol 2,200000000,389813101,389813101
Spider-Man 2,200000000,373524485,373524485
Alice in Wonderland,200000000,334191110,334191110
Skyfall,200000000,304360277,304360277
Monsters University,200000000,268488329,268488329
Oz the Great and Powerful,200000000,234770996,234770996
X-Men: Days of Future Past,200000000,233921534,233921534
The Amazing Spider-Man 2,200000000,202853933,202853933
Cars 2,200000000,191450875,191450875
Tron: Legacy,200000000,172062763,172062763
2012,200000000,166112167,166112167
Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,159555901
Terminator Salvation,200000000,125322469,125322469
Green Lantern,200000000,116601172,116601172
Prince of Persia: Sands of Time,200000000,90759676,90759676
Dark Phoenix,200000000,65845974,65845974
Transformers: Dark of the Moon,195000000,352390543,352390543
The Mummy,195000000,80101125,80101125
Jack the Giant Slayer,195000000,65187603,65187603
Furious 7,190000000,353007020,353007020
Star Trek Into Darkness,190000000,228778661,228778661
World War Z,190000000,202359711,202359711
The Great Gatsby,190000000,144840419,144840419
Disneyâs A Christmas Carol,190000000,137855863,137855863
